title,price,price_numeric,description,model,model_normalized,brand,reg_year,reg_year_numeric,mileage,mileage_numeric,origin,origin_normalized,location,province,condition,vehicle_type,engine_capacity,post_time,days_since_posted,post_date,url,url_full,condition_normalized,vehicle_type_normalized,price_millions
Xe SH 150i CBS 2017-2018 màu đỏ xe còn đẹp,60.000.000 đ,60000000,"Mô tả sản phẩm: Bán xe Honda SH 150i CBS 2017-2018 - Chạy 10.000km, máy zin, giá tốt

🔹 Dòng xe: Honda SH 150i CBS đời 2017-2018
🔹 Odo: 10.000 km (đi rất ít, còn mới)
🔹 Màu sắc: (Tùy màu xe cụ thể, ví dụ: Trắng - Đen - Bạc - Đỏ)
🔹 Tình trạng:
✔️ Xe chính chủ, giấy tờ đầy đủ, biển số đẹp
✔️ Động cơ zin 100%, chưa sửa chữa, bảo dưỡng định kỳ
✔️ Dàn áo còn mới, sơn zin 95%
✔️ Chạy êm, không rung lắc, không lỗi vặt
✔️ Lốp zin còn dày, phanh CBS an toàn
✔️ Chìa khóa thông minh Smart Key hoạt động tốt
✔️ Đã thay nhớt, bảo dưỡng toàn bộ trước khi bán",SH,SH,Honda,2017,2017,10000,10000,Việt Nam,Việt Nam,"Phường Phước Tân, Thành phố Biên Hòa, Đồng Nai",Đồng Nai,Đã sử dụng,Tay ga,137.5,Đăng 6 giờ trước,0.25,2025-05-10 18:00:00,/mua-ban-xe-may-thanh-pho-bien-hoa-dong-nai/122877208.htm#px=SR-stickyad-[PO-3][PL-top],https://xe.chotot.com/mua-ban-xe-may-thanh-pho-bien-hoa-dong-nai/122877208.htm#px=SR-stickyad-[PO-3][PL-top],Đã sử dụng,Tay ga,60.0
Cần bán xe Lyberty,5.200.000 đ,5200000,Nhà thừa xe nên cần bán cho ai có nhu cầu ..,Liberty,Liberty,Piaggio,2012,2012,500000,500000,Nhật Bản,Nhật Bản,"Xã Hoàng Văn Thụ, Huyện Chương Mỹ, Hà Nội",Hà Nội,Đã sử dụng,Tay ga,137.5,Đăng 2 giờ trước,0.08333333333333333,2025-05-10 22:00:00,/mua-ban-xe-may-huyen-chuong-my-ha-noi/122883979.htm,https://xe.chotot.com/mua-ban-xe-may-huyen-chuong-my-ha-noi/122883979.htm,Đã sử dụng,Tay ga,5.2
Cần Bán Nhanh em nó,7.000.000 đ,7000000,Cần bán nhanh em nó như ảnh ai có nhu cầu liên hệ mk ***,Sirius,Sirius,Yamaha,2008,2008,2000,2000,Đang cập nhật,Việt Nam,"Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",Hà Nội,Đã sử dụng,Xe số,137.5,Đăng 2 giờ trước,0.08333333333333333,2025-05-10 22:00:00,/mua-ban-xe-may-quan-cau-giay-ha-noi/122883920.htm,https://xe.chotot.com/mua-ban-xe-may-quan-cau-giay-ha-noi/122883920.htm,Đã sử dụng,Xe số,7.0
Lên đời dư xe Jupiter mx máy êm như chó thở.,5.500.000 đ,5500000,"Giấy tờ đầy đủ
Đổ xăng là chạy
Máy móc bao êm",Jupiter,Jupiter,Yamaha,2009,2009,99999,99999,Thái Lan,Thái Lan,"Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng",Đà Nẵng,Đã sử dụng,Xe số,137.5,Đăng 2 giờ trước,0.08333333333333333,2025-05-10 22:00:00,/mua-ban-xe-may-quan-cam-le-da-nang/122883877.htm,https://xe.chotot.com/mua-ban-xe-may-quan-cam-le-da-nang/122883877.htm,Đã sử dụng,Xe số,5.5
SH150 CBS 2022 BSTP,80.000.000 đ,80000000,"Nhà dư 1 chiếc sh 150 cbs đời 2022 bstp 59-P3 309.32 cần bán. Xe zin dán keo nguyên con, chỉ đổ xăng và chạy đi làm. Xe còn mới 98% uỷ quyền hoặc ra hđmb đều được. Xem xe ở gò vấp. Xe nhà bán chứ ko phải cửa hàng nha",SH,SH,Honda,2022,2022,12000,12000,Việt Nam,Việt Nam,"Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Đã sử dụng,Tay ga,137.5,Đăng 5 phút trước,0.003472222222222222,2025-05-10 23:55:00,/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/122879468.htm,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/122879468.htm,Đã sử dụng,Tay ga,80.0
bán xe cứu chủ,32.000.000 đ,32000000,Xe zin . Mua về chạy thôi . Máy móc zin êm,Blade,Blade,Honda,2021,2021,20000,20000,Việt Nam,Việt Nam,"Xã Suối Cát, Huyện Xuân Lộc, Đồng Nai",Đồng Nai,Đã sử dụng,Tay ga,137.5,Đăng 2 giờ trước,0.08333333333333333,2025-05-10 22:00:00,/mua-ban-xe-may-huyen-xuan-loc-dong-nai/122883777.htm,https://xe.chotot.com/mua-ban-xe-may-huyen-xuan-loc-dong-nai/122883777.htm,Đã sử dụng,Tay ga,32.0
Cần bán vario đời 2022 9 chủ,33.800.000 đ,33800000,"Honda Vario 2022 BS 66 chính chủ công chứng ✅
   
   •Máy zin chưa rớt đầu siuuu êm✅
    •Dàn chân sơn zin hãng chưa qua dặm tút✅
 
    •Dàn Áo sơn zin hãng lên tem vi tính ✅
 
   •khoá smk Honda ✅
 - Nhận Giao Lưu trao đổi các dòng xe bù trừ hợp lí
 - Hỗ trợ góp tay đôi trả trước 70% Hộ khẩu TP
#giaemban 3X triệu 
☎️*** E (Dũng)",Vario,Vario,Honda,2022,2022,7000,7000,Việt Nam,Việt Nam,"Xã Vĩnh Lộc B, Huyện Bình Chánh, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Đã sử dụng,Tay ga,137.5,Đăng 2 giờ trước,0.08333333333333333,2025-05-10 22:00:00,/mua-ban-xe-may-huyen-binh-chanh-tp-ho-chi-minh/122883702.htm,https://xe.chotot.com/mua-ban-xe-may-huyen-binh-chanh-tp-ho-chi-minh/122883702.htm,Đã sử dụng,Tay ga,33.8
Future chính chủ,29.800.000 đ,29800000,"Xe máy zin 100% , xe mình chính chủ, mua từ mới. 
Xe co thay 1 ít đồ. 
Phuộc nice zin =2,5tr . 
Đèn audi 2tr . 
Vỏ không ruột michelin pilot street 2 =1,5tr . 
Sen dĩa nhật. 
Nhớt dùng motul 300v ... 
Xe mình chăm sóc kỳ , anh chị mua vê chỉ việc đổ xăng chạy thôi . 
Giá bán 29tr800k . Mình không bớt nữa. 
Xem xe tại cổng Tân Đức ( Đức Hòa Hạ)",Future,Future,Honda,2022,2022,21000,21000,Đang cập nhật,Nhật Bản,"Xã Đức Hòa Hạ, Huyện Đức Hòa, Long An",Long An,Đã sử dụng,Xe số,137.5,Đăng 2 giờ trước,0.08333333333333333,2025-05-10 22:00:00,/mua-ban-xe-may-huyen-duc-hoa-long-an/122883540.htm,https://xe.chotot.com/mua-ban-xe-may-huyen-duc-hoa-long-an/122883540.htm,Đã sử dụng,Xe số,29.8
"VISIONS  Bán Rẻ Bèo ,K Mua Thì Mua Xe Nào",9.800.000 đ,9800000,"Mình cần bán xe như hình 
Xe giấy tờ đầy đủ nha 
Mình mới mua xe nên bán lại cho ai cần 
Mong gặp người thiện chí cần mua 
Mình k cần quảng cáo nhiều 
Mọi người đến xem xe sẽ biết ngay 
Cảm ơn mọi người",Vision,Vision,Honda,2015,2015,39000,39000,Thái Lan,Thái Lan,"Phường Tân Thới Hiệp, Quận 12, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Đã sử dụng,Tay ga,137.5,Đăng 2 tháng trước,60.0,2025-03-12 00:00:00,/mua-ban-xe-may-quan-12-tp-ho-chi-minh/121832358.htm,https://xe.chotot.com/mua-ban-xe-may-quan-12-tp-ho-chi-minh/121832358.htm,Đã sử dụng,Tay ga,9.8
cần bán sh350,108.000.000 đ,108000000,"2022 ĐKLĐ T7 2023 máy thái 1 chủ từ đầu
Odo : 13k phát hiện tua odo tặng xe luôn
Cốt bánh trước sau chưa mở bảo dưỡng định kì đầy đủ ,trầy xước theo thời gian",SH,SH,Honda,2023,2023,13000,13000,Đang cập nhật,Thái Lan,"Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Đã sử dụng,Tay côn/Moto,175.0,Đăng 2 giờ trước,0.08333333333333333,2025-05-10 22:00:00,/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/122883504.htm,https://xe.chotot.com/mua-ban-xe-may-quan-go-vap-tp-ho-chi-minh/122883504.htm,Đã sử dụng,Tay côn/Moto,108.0
