,brand_name,model_name,model_image,price_min,price_max,release_year
0,Honda,Wave Alpha 110,https://i1-vnexpress.vnecdn.net/2024/07/11/HondaWaveAlphanew2024VnE9182jpg-1720684490.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=TlIBySrb0kq2uIV8JYj8Jg&t=image,18.19,19.29,2024.0
1,Honda,Blade 110,https://i1-vnexpress.vnecdn.net/2023/04/03/HondaBlade2023DacbietDenpng-1680494765.png?w=380&h=0&q=100&dpr=1&fit=crop&s=pv-e70l-Bx0acCr5TPxKSw&t=image,19.25,22.35,
2,Honda,Wave RSX FI 110,https://i1-vnexpress.vnecdn.net/2023/11/23/HondaWaveRSXFI2024Sport26jpg-1700723181.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=r1D2h699XsrABi-twaGm8Q&t=image,22.44,26.04,2023.0
3,Honda,ICON e:,https://i1-vnexpress.vnecdn.net/2024/11/05/HondaICONe20241jpg-1730777711.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=fvCCUoYXBaE-FNs2U465VQ&t=image,30.0,30.0,2024.0
4,Honda,Future 125 FI,https://i1-vnexpress.vnecdn.net/2024/01/03/HondaFutute125FI2024DacBiet1jpg-1704270891.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=flV5Esxysk_kkTyTYzUWfg&t=image,31.09,32.79,2024.0
5,Honda,Vision,https://i1-vnexpress.vnecdn.net/2024/11/21/HondaVision2025Brown1jpg-1732176821.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=P1z6jGNttnptnlGoBZri6g&t=image,31.89,37.29,2024.0
6,Honda,Lead,https://i1-vnexpress.vnecdn.net/2024/09/07/HondaLead2024103jpg-1725711029.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=ccjNIMXsHb76QwNsM1V1sQ&t=image,40.29,46.49,2024.0
7,Honda,Vario 125,https://i1-vnexpress.vnecdn.net/2024/12/02/HondaVario1251jpg-1733113799.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=m-57cAxA6e6e9Shvgn-6HA&t=image,41.49,41.99,2024.0
8,Honda,Air Blade 125/160,https://i1-vnexpress.vnecdn.net/2023/04/03/HondaAirBlade12516020232png-1680510380.png?w=380&h=0&q=100&dpr=1&fit=crop&s=NapXMBBGRGUxw2KIQj8pEQ&t=image,42.79,57.89,2022.0
9,Honda,Winner X,https://i1-vnexpress.vnecdn.net/2023/04/03/HondaWinnerX2022VnE0073jpg-1680511463.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=u2H5I20773GjFtlE8CTAgg&t=image,46.16,50.56,
10,Honda,Vario 160,https://i1-vnexpress.vnecdn.net/2023/04/03/HondaVario2023DacBiet2jpg-1680509664.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=kVo1AfrflYIQVi9-Kj6aLA&t=image,51.99,56.49,
11,Honda,SH Mode,https://i1-vnexpress.vnecdn.net/2023/04/03/HondaSHMode1252023TheThao1png-1680508794.png?w=380&h=0&q=100&dpr=1&fit=crop&s=vl3iVZeEMYYjgzneZjyjww&t=image,58.19,64.99,
12,Honda,CBR150R,https://i1-vnexpress.vnecdn.net/2023/04/10/HondaCBR150R2021VnEnew9906JPGjpg-1681115994.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=PcQSYwa3rRlGtvOFjBt8Ow&t=image,72.29,73.79,
13,Honda,SH 125i/160i,https://i1-vnexpress.vnecdn.net/2023/08/04/HondaSH160i2024Sporty1jpg-1691141041.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=tJiwt8iPkzEiz-WOJBBeFw&t=image,73.921,102.19,2023.0
14,Honda,Super Cub C125,https://i1-vnexpress.vnecdn.net/2023/04/03/HondaSuperCubFI12520232png-1680507887.png?w=380&h=0&q=100&dpr=1&fit=crop&s=GUqhuoKTu11X8J15a_cODg&t=image,87.89,88.89,
15,Honda,CB150R,https://i1-vnexpress.vnecdn.net/2023/04/03/HondaCB150RStreetfire20231jpg-1680511781.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=NcGhT-l_a2ojhVwR-StUZA&t=image,105.5,105.5,
36,Honda,CB350 H'ness,https://i1-vnexpress.vnecdn.net/2024/01/24/HondaCB35020240170jpg-1706106787.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=7o59bcn6sCMpqugfvbeHDg&t=image,129.99,129.99,
37,Honda,SH 350i,https://i1-vnexpress.vnecdn.net/2024/11/06/HondaSH350i2025VnE15jpg-1730857784.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=vV5o8xrKVwmveuCyQFQsTw&t=image,151.19,152.69,
38,Honda,Rebel 500,https://i1-vnexpress.vnecdn.net/2025/02/24/HondaRebel5002025VnE2JPG-1740364111.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=pirLh008v7QMz7aFiq-oTg&t=image,181.3,181.3,
39,Honda,CL500,https://i1-vnexpress.vnecdn.net/2025/02/23/HondaCL5002025VnE7694JPG-1740283822.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=EUC6y6gA8sipdTr5h-vJSA&t=image,180.99,180.99,
40,Honda,CB500 Hornet,https://i1-vnexpress.vnecdn.net/2024/09/07/HondaCB500Hornet20243jpg-1725719431.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=pU-YTg18RogFLYiVvk6RwA&t=image,184.99,184.99,
41,Honda,CB500F,https://i1-vnexpress.vnecdn.net/2023/04/13/HondaCB500F2022jpg-1681355207.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=0C4GVeqbAXp5CcDTgDJABw&t=image,184.99,184.99,
42,Honda,CBR500R,https://i1-vnexpress.vnecdn.net/2024/09/07/HondaCBR500R20242jpg-1725719819.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=S9ImWvfjeh2HawUNbaJx1g&t=image,192.99,192.99,
43,Honda,NX500,https://i1-vnexpress.vnecdn.net/2024/09/07/HondaNX50020243jpg-1725719288.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=0H4GNSrsMRceD2yNxi5m5Q&t=image,194.29,194.29,
44,Honda,CB500X,https://i1-vnexpress.vnecdn.net/2023/04/13/HondaCB500X20224jpg-1681355635.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=ZCvCEeylCX4CxbWSf7bGcg&t=image,194.29,194.29,
45,Honda,CB650R,https://i1-vnexpress.vnecdn.net/2024/09/07/CB650R2024VnE1jpg-1725684187.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=kNsxXVllojsPJpC0McDhsw&t=image,256.99,256.99,
46,Honda,CBR650R,https://i1-vnexpress.vnecdn.net/2024/09/07/CBR650R2024VnE2jpg-1725686203.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=k_z_zDvqqrpSJbWQZVfLFw&t=image,264.99,264.99,
47,Honda,CB1000 Hornet,https://i1-vnexpress.vnecdn.net/2025/02/23/HondaCB1000Hornet2025VnE7639JPG-1740284781.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=oxujh5-a8ANHC0yKlAUpXg&t=image,339.9,339.9,
48,Honda,Rebel 1100,https://i1-vnexpress.vnecdn.net/2023/04/13/HondaRebel110020220jpg-1681369841.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=TeEVYCfcKax9VW9-4Cz46g&t=image,449.5,499.5,
49,Honda,CB1000R,https://i1-vnexpress.vnecdn.net/2023/04/13/HondaCB1000R20231TOPjpg-1681354846.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=X6t-a1j0dV1boeCJNPHtMA&t=image,510.5,525.5,
90,Vespa,Primavera,https://i1-vnexpress.vnecdn.net/2023/04/06/evpqaxnvn102mjpg-1680771840.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=f4syO9jef3dl_zvzlKSSnQ&t=image,76.8,110.0,
91,Vespa,Sprint,https://i1-vnexpress.vnecdn.net/2025/03/21/PIAGGIONEW2572475321copyjpg-1742539664.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=SVF_GncQyubIuYya9kmskA&t=image,103.8,119.8,
92,Vespa,GTS Super,https://i1-vnexpress.vnecdn.net/2023/04/11/evgtr7nvt404mjpg-1681204570.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=_jjGyzVS9auiG2Cd2jL3sw&t=image,94.3,179.0,
93,Vespa,Sei Giorni,https://i1-vnexpress.vnecdn.net/2023/04/06/SeiGiorni1edited339615930230915841593077275jpg-1680754706.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=l3os3aM0OlIAg_YEt3Z2dA&t=image,139.4,139.4,
94,Vespa,GTV,https://i1-vnexpress.vnecdn.net/2023/10/27/VespaGTV2023VnE3960jpg-1698422271.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=bXQEjFv1D8uHu9Z2XboupQ&t=image,159.8,159.8,2023.0
95,Vespa,946,https://i1-vnexpress.vnecdn.net/2025/02/28/Vespa946Snake2025100jpg-1740715680.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=9Ke1BE5TPHZfD0Cuk4rfXw&t=image,460.0,460.0,2025.0
116,Piaggio,Liberty,https://i1-vnexpress.vnecdn.net/2025/02/13/IMG0293jpeg-1739437528.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=jBIeiSKdNPrkrry7s1TXmQ&t=image,57.5,59.3,2025.0
117,Piaggio,Medley,https://i1-vnexpress.vnecdn.net/2023/04/06/PiaggioMedleyVnExpress1488365779101582860704jpg-1680750586.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=7B6HoDKrEOeldYltaJdS4A&t=image,81.5,96.8,
118,Piaggio,Beverly,https://i1-vnexpress.vnecdn.net/2023/04/06/PiaggioBeverly2022VnE410340731669185470jpg-1680750347.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=JEz1ex_NLAuk3uaAzp9sMg&t=image,235.0,235.0,
119,Piaggio,MP3,https://i1-vnexpress.vnecdn.net/2023/10/30/PiaggioMP32023VnE4007jpg-1698600186.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=3MVxdcqpKM3FJpF6WMYkcg&t=image,340.0,340.0,2023.0
140,SYM,Z1,https://i1-vnexpress.vnecdn.net/2023/04/07/symz13jpg-1680852514.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=JdAfoIlBI7bnokVGMLDICg&t=image,15.35,15.35,
